start	end	text
0	8320	Awesome, now if we can just quickly get our names so Ricky, Ricky over there, Mazin, Alvean,
8320	20800	and then Hugo, Paxton, Caillou, okay so question one, what were your first impressions of the
20800	21800	game?
21800	22800	Yeah.
22800	23800	It wasn't very pretty.
23800	24800	It wasn't very pretty?
24800	25800	It didn't like colours.
25800	26800	It didn't like colours.
26800	27800	Sorry.
27800	28800	Okay, that's fair.
28800	29800	It's completely valid feedback.
29800	33800	Alright, so the colours in question, what did you like about them?
33800	35800	Just a bit swampy.
35800	36800	Swampy?
36800	37800	A bit dark.
37800	38800	Okay.
38800	39800	Alright.
39800	47440	I didn't notice the colours as much, I did think that the opening home page, there was
47440	48800	quite a lot going on.
48800	49800	So overcrowded?
49800	56120	Yeah, more so that like there was a lot going on there so that limited the size that everything
56120	61400	could be to try and fit it onto the screen, so I feel like it could have benefited from
61400	65760	maybe prioritising some things, making a few things a little bit bigger, just so it was
65760	71320	kind of more obvious what was there rather than trying to just put all of it on there
71320	76800	kind of limited the way that the things could breathe and be a little bit more isolated.
77800	83320	I probably would have focused on like one, either like your past expenses or like paying
83320	86800	new expenses instead of having them both on that screen.
86800	89280	There's not too much going on.
89280	94880	I did actually, I had a moment of confusion as to what pay up was, I was looking at it
94880	100360	thinking, am I paying there, who's paying here, is this shit that needs to be paid soon
100360	103000	or is this actually I can pay it right here?
103000	104000	Okay, that's good.
104000	105000	Alright.
105200	109400	Did you find that the colour settings were any use of changing how you felt about the
109400	110400	whole swampy feel?
110400	114920	Oh, that was just like accessibility stuff, so yeah, that was fine, that was good, I got
114920	115920	my problems there.
115920	117920	Did you like the alternatives colour scheme more or?
117920	118920	What was it?
118920	119920	The dark mode version?
119920	120920	Yeah, yeah, that was good.
120920	126920	I think the dark mode worked better with the greens and like blues that were on there.
126920	128920	You felt the dark mode looked better with the greens and blues?
128920	134920	I do like a dark mode though, so I might be biased, but yeah, I did like the other alternatives.
135840	136840	Alright, sweet.
136840	137840	Thank you very much.
137840	142840	We'll move on to the next question, assuming no one has any other first impressions of
142840	144840	the app that they want to share?
144840	145840	No.
145840	146840	Awesome.
146840	147840	Second question.
147840	153840	Shoot, I'm pulling on the wrong questions, where did we actually put the actual, I'm
153840	155840	going to pause this for a second.
155840	157840	Yeah, awesome, thank you very much, good for catching that.
158760	168760	As I was saying, the next question is, describe your experience as you navigated the app,
168760	172760	so we're sort of taking a focus on navigation here, how you felt while you were going through,
172760	173760	that kind of thing.
173760	174760	Take a moment to think.
174760	182760	I don't know, I was a bit, it's pretty easy to get through the task, to be honest.
182760	183760	Pretty easy?
184680	188680	I'm just going to beg for forgiveness on Figma being Figma, so just try and take it
188680	191680	on how the design actually should have looked.
191680	196680	I thought the navigation was good with it, I liked the separation that you had into your
196680	199680	tabs at the bottom, I thought that was good.
199680	205680	I thought the way that you implemented the swiping functionality was really cool.
205680	212680	I thought that the splitting you did between the stuff that was in your three bar menu
213600	217600	and the stuff that was found elsewhere along the bottom and on the home screen, I thought
217600	218600	that was intuitive.
218600	222600	When asked to do a task that was like, oh, go into the settings or whatever, I was like,
222600	225600	okay, there's not a settings tab at the bottom, it'll be in the three bar menu.
225600	226600	Yeah, and it was there.
228600	229600	Agreed.
