start	end	text
0	7000	Yeah, and we can also screen card all the phones to see where they're testing and stuff.
7000	9000	Fuck, that's not a bad idea.
9000	11000	Are you guys just doing it on your laptop?
11000	13000	I don't know, yeah, that was our plan.
13000	15000	I mean, you can just download the Figma app.
15000	18000	Just download the Figma app, as long as you have the flows.
18000	20000	Screen recording's good.
20000	22000	It doesn't really matter too much for usability.
22000	24000	You have to record that.
24000	27000	For the testing, you can see how long it takes for each one.
27000	29000	I suppose you can record on the laptop as well.
29000	32000	Yeah, I'm not using my laptop, I'm using my phone.
32000	34000	Oh, yeah, you can use that.
34000	37000	So, officially we're going to start now.
37000	41000	So, welcome to this testing, I guess.
41000	46000	We're going to be testing our prototype, which is for a Flatmates Expense app.
46000	47000	Really?
47000	48000	Yeah, it is.
48000	52000	So, just go through the app.
52000	57000	I'm going to be giving you some tasks which you have to go through and try and complete them.
57000	62000	Make sure you say what you're thinking and just go through your step, take your time.
62000	67000	But just make sure you can tell me what you're thinking about in each step.
67000	73000	Right, so I'm assuming you filled the consent form earlier, so that's all good.
73000	82000	And we will be recording the voice and also your inputs, I guess, for this test for future use.
82000	87000	But we will be leaving the data after the assignment is done, so that's all that.
87000	90000	So, I'm just going to be setting this up.
90000	95000	It's just going to take a minute.
95000	98000	It's all good, just keep recording.
98000	103000	We're just bashing you.
103000	106000	Okay, okay, that's fine.
106000	111000	Yeah, that's why we are here.
111000	116000	I would go for the seat form.
116000	120000	Yeah, I was confused for a second.
120000	136000	And the screen recording will also record your voice and the things you answer.
136000	140000	It's pretty cool, Figma, because that's how it looks.
140000	145000	Okay, so I'm going to be starting the recording now, and I'm going to hand you the phone.
145000	159000	So, this is the testing we're just going to start, and your first task will be verify the functionality of adding a new recurring expense.
159000	164000	So, you'll be adding a new recurring expense and verifying that it has actually been added.
164000	169000	And when adding the recurring expense, you'll be splitting it among household members.
169000	178000	Okay, so I'm clicking add expense, because that's like the standard Google thing.
178000	181000	I'm just making this up, right?
181000	183000	Read.
183000	187000	Category.
187000	189000	What did you say it was again?
189000	196000	Just any expense.
196000	201000	1,200? I don't think any of ours work in that way either.
201000	204000	There we go, there's our date done.
204000	207000	And repeat. Did you say how often?
207000	209000	It doesn't say how often, but just choose your favorite.
209000	214000	Every week. I'm going to split it with Sam and Alex and me.
214000	216000	My description.
216000	219000	Whatever it says for me.
219000	221000	I'm going to click create.
221000	223000	Sweet.
223000	225000	And then I'm done.
225000	232000	I'm going to go into expenses and look at future expenses.
232000	236000	And then, I can't remember what I even set it to.
236000	239000	Just verify it's been added, I guess.
239000	241000	What was it? 1,200 or something.
241000	243000	I assume it would be there.
243000	246000	Okay, that's fine.
246000	253000	That's the first task which is done, so let's just go back to the homepage.
253000	266000	The next task is to ensure the functionality of paying an existing expense and removing it from the list.
266000	277000	Basically, there's going to be an existing expense which you already paid, but you're going to be paying up the expense to another person.
277000	280000	Just making sure it's already been done.
280000	282000	What would you be doing in this case?
283000	288000	I assume these are my most recent expenses, so I'll go pay up.
288000	291000	Then I'll pay Alex back for his rent.
291000	292000	Okay.
292000	294000	I'll click pay.
294000	298000	What is it? Just the bottom one that works. Pay.
298000	300000	Then I'm paying for power.
300000	302000	Yep.
302000	304000	And then what was the last bit?
304000	306000	Just make sure it's been removed.
306000	307000	It's been removed?
307000	308000	Yep.
308000	310000	Well, I'd just look in there.
311000	314000	Okay, that's nice.
314000	318000	Then go back to the homepage.
318000	326000	Your third task is just view the past expenses and verify the payment history.
326000	328000	How would you be doing that?
328000	330000	Go expenses.
330000	332000	Yep.
332000	335000	Then verify payment history.
335000	337000	Just verifying payment.
337000	339000	Just looking through.
