start	end	text
0	2840	All right, so you have the app in front of you now.
2840	8240	Your first task will be to add a new recurring expense
8240	11880	and split it among household members.
11880	15280	So please begin.
15280	19480	Once you get to the point, the expense in question
19480	21000	is a rent expense.
21000	25320	Let's say it's about $1,200.
25320	28360	The date is maybe the 31st of March.
28360	30360	And let's say you want to repeat it weekly.
33600	37400	And select the three household members that it applies to.
45660	47400	Just tell me when you feel you're done.
47400	48920	OK, I'm done.
48920	50120	Should I click Create?
50120	50620	Yes.
55960	57880	Can you just voice what's happening now?
57880	62160	OK, I can't seem to click on the Create button
62160	65720	to go to the next page, I guess.
65720	68560	Could you put something in the description for me?
68560	69200	Can I type it?
69200	70120	I don't think you can.
70120	71640	OK, that's broken.
71640	72280	Take my breaks.
72280	72800	Interesting.
72800	74320	OK, I'm scrolling out.
74320	75320	Cancel out of here.
75320	75820	OK.
81640	83760	Do you want to just quickly try and do that again?
83760	84260	Sure.
84260	84760	Please can.
84760	87720	Let's see if it doesn't break.
87720	91240	Name, category, let's go rent.
91240	99080	$1,200, 31st of March, weekly, three household members.
99080	100960	Maybe just try and put a description in there.
100960	101960	Oh, OK.
101960	103880	I think I was waiting for the description.
103880	105040	OK, and just press Create.
108120	115360	And interesting, it reset the rent and amount and repeat.
115360	116480	No, it is not.
116720	118880	Do you want to just add Sam again?
118880	119560	Oh, never mind.
119560	120640	It's not even reset them.
120640	122600	It's jumped to cheese.
122600	125200	Oh, I think it's because you made a new expense.
127760	131400	All right, we're going to cancel the,
131400	134160	yeah, we can stop the screen recording there, I think.
134160	134760	That's fine.
134760	136120	Just continue with the next task.
136120	137680	Yeah, no, for the other task.
137680	140440	All right, we'll continue with the next task,
140440	143080	which is to pay an existing expense
143080	145280	and then confirm that it's been removed.
145280	150000	So the expense in question is an expense that Alex has paid
150000	154480	and that you need to now pay him for, them, them for.
154480	159680	That was the power expense, about $80 or so, probably.
159680	161160	Can you verify that that exists?
161160	163640	Oh, food?
163640	165560	Yeah.
165560	168000	Food is $80.
168000	169480	Rent is that much.
169480	171000	Do you want to try expanding?
171000	171500	Yes.
176640	177520	Yes, there we go.
177520	178160	$80.
178160	178640	Perfect.
178640	179640	Can you pay that for me?
190880	192720	Can you confirm, has it been paid?
192720	195360	Should I go back to the home page?
195360	196640	If you'd like to.
196640	199080	Because I'm not sure what's going on.
199080	199580	Fair enough.
202000	205880	I still have the power?
205880	206960	OK, no worries.
206960	207640	That's all right.
207640	208160	That's fine.
208160	209560	We'll continue with the next task.
213000	214360	Right, yes, that's right.
214360	216040	Talk more about what's going on.
216040	218480	Yes, feel free to voice what's happening, your confusions,
218480	222560	your concerns, what's happening in general, what you tried to do,
222560	225840	what happened instead, that kind of thing.
225840	228720	So in this case, you.
228720	230360	Well, I tried to pay the power.
230640	234320	And it disappeared from the pay section.
234320	236240	Well, it's still here.
236240	239120	But when you went to the home page, it was still there.
239120	241720	I'm not 100% sure whether it did pay.
241720	244240	Could you jump over to the pay section and check for me?
244240	245280	Yes.
245280	248000	Is it there still?
248000	249000	It's the first one, yeah.
254160	257200	All right, good to know.
257200	259240	Should I click the pay button again?
259280	260800	No, let's move on to the next task.
