start	end	text
0	7740	so I hope that all hear us so the whole point will give you the app I'll give
7740	13800	you around six to five tasks and then try to navigate as best as you can you
13800	20340	know this whole point the whole point of this thing is just to I guess just to
20340	27700	improve okay okay starting the first task first task is verify the
27700	32140	functionality of adding new recurring expenses and splitting it among
32140	41080	household members so the the details I want you to enter it's kind of already
41080	47980	fixed but the expense name is rent category is rent amount is 1,200 date is
47980	57100	the 31st 3 5 slash 0 5 24 we want to repeat it weekly and then split it with
57100	75220	three household members yeah that should just be that's that should be it
75220	79820	actually and then going to the second task ensure the functionality of paying
79820	107140	an existing tasks and verify it's removal from the list so what was your
107140	118100	trouble beforehand sorry all right yeah that's yeah it's more of a figma thing I
118100	127700	guess yep is it removed go perfect that's past three I'll say that's that's
127700	133860	two sir so that's three is a go back to the homepage please confirm the ability
133860	145300	of the ability to view past expenses and verify payment history yep and then
145300	156780	you want to navigate yes that should be it yeah that's good that's very fairly
156780	163300	intuitive go go back to the home page please task for validate the insights
163300	168220	features for the rent category and ensure accurate data visualization
168220	175980	visualization visualization okay yeah that's fairly good if you go back please
175980	181380	go back to the homepage okay that's five test the customization option for
181380	186820	display and X ability to ensure you suitability for all users so that
186820	192980	basically means try to change the colors of the app
192980	222580	can you try to put it back to the original color scheme and then test the
222580	226860	help and support functionality ensuring users can find information and contact
226860	235820	support if needed test the help and support functionalities ensuring users
235820	240540	can find information and contact support if needed
259380	264780	yes so you're supposed to navigate the settings right not that yet you are in
264780	272540	the right page to try to find information and contact support yeah if
272540	286740	you can try to input something yeah that should be everything actually oh thank
286740	307140	you you have any I guess final remarks would be expense thank you thank you
307140	312020	perfect thank you thank you for your time and that should be it
