start	end	text
0	11800	speak up is to add a new recurring expense and split it among all household
11800	16300	members okay click the add exchange button right on the front page yeah
16300	23900	it'll be rent so just tap all the fields to fill them out okay there's no type
24020	31220	category doesn't matter whatever rent category I guess I'm just splitting with
31220	40380	everyone should amount 20 into the date so like repeat was there weekly weekly
40380	45500	and split with all flatmates right yeah okay so like your flatmates can I just
45500	48140	make sure that you're speaking up a little bit just make sure that the
48140	56100	hello hello and description I just have that through us and create exchange
56100	61340	created okay sweet that's pretty much it and are you confident with all that yep
61340	67980	yeah that's pretty easy easy as cool now second task is to ensure oh wait okay
67980	72260	yeah now pay an additional expense this will be power and yeah just paying
72260	76540	expense okay cool power so pay the person who paid for power I'm gonna
76540	82340	click pay yeah and I got a quick power yeah I believe okay pay for power yes
82340	88780	cool all right come again you come that's pretty simple sweet easy ass okay
88780	94700	and now third task is to just view your past expenses and look for garbage that
94700	99380	was sorted out last week okay I'll probably go to expenses to find that one
99380	103580	yeah and I'll probably go to garbage cool and just tell me the names of the
103580	107180	people who did it person one a person to easy cool cheers
107180	110820	cool and you're confident than that happened yeah that's pretty easy cool
110820	117980	yes now to check now what you need to do is check the insights and look at the
117980	123660	monthly breakdown for rent click insights I'm gonna see rent I'm assuming
123660	128660	it's clickable but yeah I'm not actually sure yep monthly breakdown thanks
128660	132620	monthly breakdown up here that's pretty simple sweet cool and you're pretty
132660	138860	confident with what's happening mm-hmm yep cool yeah and the fifth task is now
138860	144860	to test customization options for display okay I'm probably gonna go up
144860	149380	here yeah try find something like settings unless I'm missing a
149380	155540	customizability button household settings settings or user profile I'm
155540	160340	gonna go app settings cool display settings yeah okay so just play around
160380	164460	the display settings and then check your accessibility options as well dark mode
164460	169700	and let's see high contrast and color blank frame just for fun yeah those were
169700	175060	sweet as cool and you're confident that kind of does its thing yep cool now the
175060	179380	final task is to check help and support functionalities so fill out check out
179380	184460	the FAQ as well as submit a contact support form all right I'm in settings
184460	188620	as I was before I'm just gonna click frequently ask questions have a look at
188620	194860	one speaking up what is the purpose of the expense follow us yep can see it all
194860	199940	here ask questions put that away contact support just contact support and
199940	208940	enter a form pretty easy Cassie Cassie Cassie has no message oh yeah send yep
208940	213020	that'll work cool that's easy yep and you're confident all this stuff is done
213020	219100	yep easy ass cool that's pretty much it cool cool awesome sweet ass
